date,amzn_close,amzn_volume,fb_close,fb_volume,intc_close,intc_volume
6/22/2015,436.290009,1823600,84.739998,29383100,32.259998,23608400
6/23/2015,445.98999,3245000,87.879997,50667900,32.09,17995900
6/24/2015,440.839996,2620800,88.860001,41370200,31.91,23313900
6/25/2015,440.100006,2237500,87.980003,27302000,31.99,22743300
6/26/2015,438.100006,2624500,88.010002,38214600,31.02,62157200
6/29/2015,429.859985,2753200,85.800003,35957900,30.389999,35194500
6/30/2015,434.089996,2596900,85.769997,23016500,30.42,34412200
7/1/2015,437.390015,1987100,86.910004,25260000,30.18,27178900
7/2/2015,437.709991,1343400,87.290001,16908800,30.559999,27105200
7/6/2015,436.040009,1903200,87.550003,24635900,30.040001,32468100
7/7/2015,436.720001,3454200,87.220001,33059900,29.092021,43833700
7/8/2015,429.700012,2383100,85.650002,24399300,29.052021,45223800
7/9/2015,434.390015,2271400,85.879997,23307400,28.93,47167800
7/10/2015,443.51001,2401000,87.949997,23245900,29.17,31423800
7/13/2015,455.570007,3956800,90.099998,29976700,29.73,26452400
7/14/2015,465.570007,4736200,89.680000,26627800,29.65,39778300
7/15/2015,461.190002,2987400,89.760002,30886600,29.690001,47852500
7/16/2015,475.480011,4095600,90.849998,21804100,29.092021,81166700
7/17/2015,483.01001,4932200,94.970001,54001600,29.469999,43697600
7/20/2015,488.100006,4752500,97.910004,54860500,29.012021,33812900
7/21/2015,488,3181800,98.389999,39453300,28.719999,45191000
7/22/2015,488.269989,3114900,97.040001,28299500,28.610001,36387200
7/23/2015,482.179993,9374400,95.440002,29418800,28.062021,33775200
7/24/2015,529.419983,21909400,96.949997,33444900,28.059999,31621000
7/27/2015,531.409973,7491000,94.169998,38585400,28.35,42161100
7/28/2015,526.030029,5273100,95.290001,35236000,28.959999,33182400
7/29/2015,529,3752600,96.989998,64648300,29.012021,26470200
7/30/2015,536.76001,3743100,95.209999,86211300,28.91,26582400
7/31/2015,536.150024,3025600,94.010002,46509000,28.950001,27158800
8/3/2015,535.030029,3014200,94.139999,29343100,29.049999,26213600
8/4/2015,531.900024,2934600,94.059998,20136000,29.129999,25741700
8/5/2015,537.01001,2889400,96.440002,29813200,29.120001,23622700
8/6/2015,529.460022,3820500,95.120003,42271300,29.012021,27958200
8/7/2015,522.619995,3969200,94.300003,23199100,28.879999,25606100
8/10/2015,524,2615900,94.150002,21624200,29.639999,22807400
8/11/2015,527.460022,2676600,93.620003,22491000,28.969999,23758900
8/12/2015,525.909973,3962300,94.190002,27050500,29.459999,33589100
8/13/2015,529.659973,2895200,93.430000,17451800,28.870001,18821900
8/14/2015,531.52002,1994800,94.419998,15929700,29.02,14302700
8/17/2015,535.219971,2581700,93.930000,18313500,29.082021,15548300
8/18/2015,535.02002,2071300,95.169998,22278800,28.91,19182600
8/19/2015,532.919983,2324000,95.309998,23251300,28.360001,30530100
